@relation 'predictive_maintenance-weka.filters.unsupervised.attribute.Remove-R1-2,10-weka.filters.unsupervised.attribute.NominalToBinary-Rfirst-last-weka.filters.unsupervised.attribute.NumericToNominal-R9-weka.filters.supervised.instance.Resample-B1.0-S1-Z100.0'

@attribute Type=M numeric
@attribute Type=L numeric
@attribute Type=H numeric
@attribute 'Air temperature [K]' numeric
@attribute 'Process temperature [K]' numeric
@attribute 'Rotational speed [rpm]' numeric
@attribute 'Torque [Nm]' numeric
@attribute 'Tool wear [min]' numeric
@attribute Target {0,1}

@data
0,1,0,302.1,311.2,1460,46.9,198,0
1,0,0,302.4,311.9,1398,50.1,188,0
0,1,0,300.1,309.6,1642,34.5,53,0
0,1,0,298.9,308.6,1539,45.4,4,0
0,1,0,300.7,309.9,1383,44.5,176,0
1,0,0,303.1,312.6,1895,23.5,129,0
1,0,0,300.8,310.8,1549,35.5,79,0
0,1,0,304,313.1,1465,41,69,0
0,1,0,302.6,310.3,1647,34.2,14,0
0,1,0,297,307.6,1513,42.4,124,0
1,0,0,300.4,311.5,1750,27.3,116,0
0,1,0,299.8,311.2,1369,46.2,146,0
1,0,0,299.1,310.3,1233,59,81,0
0,1,0,301,310.9,1578,38.4,49,0
1,0,0,298.6,309.5,1566,38.1,89,0
0,0,1,300.5,309.5,1635,34.2,62,0
0,1,0,297.7,308.9,1516,33.7,92,0
1,0,0,303.6,313,1396,38.2,117,0
1,0,0,298.1,307.9,1759,28.6,176,0
1,0,0,300.7,310.1,1483,40.2,162,0
0,1,0,302.1,310.5,1389,49.6,169,0
0,1,0,298,309.6,1633,34.8,41,0
0,1,0,301,310.3,1617,34.5,126,0
0,1,0,300.8,310.8,1689,32.9,151,0
0,0,1,296.9,307.5,1397,48.3,22,0
1,0,0,300.3,309.4,1612,33.1,150,0
0,1,0,295.8,306.4,1399,47.6,84,0
0,1,0,296.7,307.9,1420,50.1,138,0
0,0,1,300.9,310.8,1477,38.4,31,0
0,0,1,300.9,310.9,1474,35.7,175,0
0,0,1,300,309.5,1735,28.9,82,0
1,0,0,296.2,307.2,1633,31.1,0,0
0,1,0,302.5,310.3,1539,39,119,0
0,1,0,299.2,308.4,1475,38.7,22,0
0,0,1,300.6,309.4,1555,37.9,24,0
0,1,0,298.2,308.7,1780,27.9,35,0
0,1,0,298.2,307.9,1847,23.6,69,0
0,0,1,298.7,309.7,1311,54.5,52,0
0,0,1,298.7,309.7,1697,29.8,74,0
0,1,0,297.3,307.9,1417,41.8,186,0
0,1,0,301.3,310.6,1416,45.2,88,0
0,0,1,298.9,308.6,1623,31,180,0
0,1,0,296.9,308,1546,31.1,11,0
0,1,0,300.7,310.3,1662,34.4,57,0
0,0,1,298.6,308.4,1407,50.5,164,0
0,1,0,298.5,309.7,1437,42.6,120,0
0,1,0,303.5,311.7,1620,31,141,0
0,1,0,302.8,310.9,1636,35,38,0
0,1,0,301,311.7,1670,31.3,150,0
1,0,0,300.3,309.5,1405,49.4,77,0
1,0,0,301.5,310.5,1623,33.5,157,0
0,1,0,300.7,310.6,1654,34.2,89,0
1,0,0,302.3,311.2,1432,42.7,68,0
1,0,0,303.6,312.5,1607,33.7,14,0
0,1,0,300.7,310.7,1333,61,177,0
0,1,0,300.7,311.1,1426,46.2,97,0
0,1,0,298.1,308.4,1438,45.6,105,0
0,1,0,300.7,310,1672,29.7,176,0
1,0,0,298.9,310.1,1549,40.2,65,0
0,1,0,296.8,307.9,1271,61.4,125,0
1,0,0,301.6,311,1431,42.3,129,0
1,0,0,297.2,308.5,1364,54,43,0
1,0,0,302.3,311.2,1842,23.9,111,0
1,0,0,301.5,310.5,1600,32.8,205,0
0,1,0,298.9,309.9,1517,36.6,117,0
0,1,0,297.5,308.5,1691,33.1,9,0
1,0,0,300.4,309.6,1614,30.3,161,0
1,0,0,300.9,310.5,1702,29.3,32,0
1,0,0,300.6,310.3,1614,32.7,0,0
1,0,0,300.8,311.2,1488,40.1,87,0
1,0,0,304.2,313.7,2113,18.4,139,0
0,1,0,302.2,311.7,1412,44.5,204,0
0,0,1,304.2,313.5,1546,41.4,58,0
0,1,0,300,309.4,1460,43.5,102,0
0,1,0,301.2,310.3,1451,39.7,123,0
0,1,0,300.7,312.4,1470,38.6,56,0
0,1,0,300.8,310.9,1748,29.9,140,0
0,0,1,302.6,312,1657,29.3,37,0
0,1,0,302.1,310.8,1596,37.1,43,0
0,1,0,302,310,1449,48.8,181,0
1,0,0,296.8,307.8,1551,38.9,112,0
0,1,0,298.9,308.6,1771,24.1,213,0
1,0,0,300.4,311.6,1401,49.9,79,0
0,1,0,300.5,311.4,1466,41.8,112,0
1,0,0,300.3,309.5,1320,62.2,142,0
1,0,0,304,313,1685,28.2,66,0
0,1,0,302.5,310.3,1523,36,72,0
1,0,0,297.4,308.7,1798,23,135,0
0,1,0,300.5,309.8,1345,62.7,153,0
1,0,0,299.1,308.6,1491,38.5,166,0
0,1,0,303.5,311.6,1465,48.7,60,0
0,0,1,298.8,309.8,1911,21.6,126,0
1,0,0,299.8,309.3,1470,42.7,119,0
0,1,0,300.1,309.3,1841,23,125,0
1,0,0,298.5,308.8,1557,36,21,0
1,0,0,304.1,313.3,1480,38.4,72,0
0,1,0,298.2,307.9,1399,54.9,139,0
1,0,0,300.3,311.2,1783,25.6,139,0
1,0,0,302.2,311.4,1398,47.2,202,0
0,1,0,300.3,310.5,1522,39.1,217,0
0,1,0,304.2,313.4,1568,37.6,25,0
0,1,0,297.1,307.8,1406,60.4,133,0
1,0,0,298.8,309.8,1534,37,47,0
1,0,0,303.7,312.7,1669,31.7,120,0
1,0,0,298.7,309.9,2083,18.2,205,0
0,1,0,297.5,309.2,1715,28,30,0
0,1,0,298,308.7,1443,49.3,52,0
0,1,0,298.9,310.3,1484,43.8,124,0
0,1,0,297.9,307.8,1499,37.5,78,0
0,1,0,298.9,309.1,1452,45.5,196,0
0,1,0,299.2,308.4,1393,48.4,35,0
0,1,0,297.3,308.3,1519,37.7,45,0
0,1,0,300.3,311.6,1374,47.4,197,0
1,0,0,299.5,310.7,1423,56.5,7,0
1,0,0,300.5,312,1779,27.7,46,0
0,0,1,297.5,308.8,1824,24,179,0
0,1,0,302.1,311.5,1987,20.1,21,0
0,1,0,300.4,309.9,1496,31.8,154,0
1,0,0,300.4,310.1,1457,35.1,193,0
0,1,0,297.9,309.1,1507,36.9,13,0
0,1,0,300.6,311.9,1472,44.2,126,0
1,0,0,298.1,307.9,1303,53.9,52,0
0,1,0,297.8,309.7,1341,49.2,208,0
1,0,0,299.2,310.6,1443,50.9,85,0
0,1,0,298.7,310.2,1566,33.1,68,0
0,1,0,297.5,308.8,1360,50.7,190,0
0,1,0,297.9,308.1,1531,40.8,2,0
0,1,0,300.8,310.8,1741,27.1,39,0
0,0,1,298.8,310.1,1704,30.7,150,0
0,1,0,300.9,310.7,1477,43.2,143,0
1,0,0,297.5,308.2,2448,13.8,29,0
0,1,0,299,309.4,1419,48.3,91,0
0,1,0,299,308.4,1356,52.6,188,0
0,1,0,299.3,308.6,1474,49.6,191,0
1,0,0,301.2,311,1424,41.4,131,0
0,1,0,297.7,308.9,1742,26.3,24,0
0,1,0,298.2,308.8,1362,57.3,28,0
0,1,0,297.3,308.1,1506,36,150,0
0,1,0,300.3,309.6,1593,38.1,140,0
0,1,0,300.9,310,2595,13.7,207,0
0,1,0,298.6,309.6,1533,40.7,106,0
0,1,0,302.3,311.6,1488,41.8,75,0
0,0,1,298,307.9,1482,37.8,132,0
0,1,0,300.1,309.7,1485,45.9,100,0
1,0,0,299.2,308.2,1674,28.2,14,0
1,0,0,302.1,311.1,1450,51.6,86,0
